x,y,z,delta de t
6.618,0.174,7.247,5
6.777,0.232,7.079,5
6.876,0.306,6.684,5
7.271,0.602,6.104,5
7.478,0.777,5.679,5
7.453,0.801,5.444,5
7.362,0.616,4.789,5
7.336,0.466,4.277,5
7.447,0.429,4.129,5
7.842,0.499,4.167,5
8.249,0.574,4.278,6
8.458,0.574,4.463,5
8.899,0.429,4.819,5
9.383,0.236,5.216,5
9.507,0.15,5.401,5
9.543,-0.015,5.79,5
9.516,-0.232,6.306,5
9.43,-0.319,6.442,5
9.133,-0.571,6.664,5
8.921,-0.753,6.755,5
8.768,-0.869,6.807,5
8.634,-1.042,6.772,5
8.523,-1.313,6.599,5
8.648,-1.39,6.508,5
8.969,-1.386,6.399,5
9.672,-1.275,6.202,5
9.945,-1.236,6.04,5
10.13,-1.228,5.907,5
10.661,-1.24,5.846,5
10.945,-1.298,5.923,5
11.038,-1.386,6.059,5
10.594,-1.485,5.886,5
10.323,-1.525,5.784,5
10.212,-1.513,5.747,5
10.819,-1.381,5.459,5
11.341,-1.245,5.142,5
11.711,-1.109,4.796,5
12.199,-0.556,3.905,5
12.522,-0.095,3.12,5
12.448,0.028,2.75,6
12.384,-0.017,2.738,5
12.526,-0.098,2.897,5
13.427,-0.11,3.279,5
13.431,-0.163,3.792,5
12.927,-0.205,4.344,5
12.039,0.016,4.665,5
11.315,0.135,4.663,5
10.727,0.172,4.405,5
10.838,0.184,4.467,5
11.022,0.101,4.753,5
11.293,-0.095,5.309,5
11.487,-0.215,5.14,5
11.447,-0.421,4.767,5
10.99,-0.804,4.162,5
10.079,-1.246,4.041,5
9.134,-1.672,4.109,5
8.43,-2.005,4.38,5
7.615,-2.287,4.075,5
6.727,-2.566,3.646,5
5.702,-2.961,3.954,5
4.157,-3.788,5.344,5
3.171,-4.188,6.603,5
2.974,-4.04,6.936,5
2.909,-3.91,7.082,5
2.983,-3.799,7.032,5
3.835,-3.456,6.53,5
4.496,-3.232,6.086,5
4.78,-3.219,5.777,6
4.971,-3.444,5.148,5
5.042,-3.674,4.661,5
4.857,-3.797,4.686,5
4.292,-4.111,4.964,5
3.68,-4.428,5.278,5
3.482,-4.453,5.34,5
3.619,-4.276,5.114,5
3.963,-3.986,4.728,5
4.433,-3.776,4.457,5
5.156,-3.339,3.606,5
6.106,-2.697,2.236,5
6.527,-2.488,1.6,5
7.675,-2.125,0.628,5
9.829,-1.535,-0.824,5
10.338,-1.298,-1.519,5
9.908,-1.118,-2.177,5
10.464,-0.427,-4.128,5
11.438,0.121,-5.109,5
13.086,0.616,-5.617,5
16.703,1.073,-5.469,5
17.991,1.184,-5.329,5
18.335,1.131,-5.195,5
20.372,1.143,-5.071,5
21.33,1.17,-4.774,5
21.421,1.195,-4.335,5
18.903,0.244,-3.298,5
16.965,-0.387,-2.744,5
15.706,-0.646,-2.756,6
14.334,-1.029,-2.398,5
13.583,-1.23,-2.091,5
13.965,-1.082,-1.943,5
14.179,-1.063,-2.542,5
14.207,-1.05,-3.165,5
13.812,-0.964,-3.338,5
12.048,-0.704,-3.867,5
9.412,-0.711,-4.307,5
8.955,-0.983,-4.172,5
8.565,-1.365,-4.08,5
8.219,-1.784,-4.036,5
7.861,-1.463,-4.332,5
7.619,-1.333,-3.444,5
7.496,-1.394,-1.358,5
8.481,-1.748,2.408,5
9.107,-1.982,5.124,5
9.083,-2.007,6.075,5
8.808,-1.917,8.013,5
8.645,-1.731,9.505,5
8.868,-1.36,9.455,5
8.816,-0.497,8.082,5
8.633,0.537,6.136,5
8.3,1.561,3.729,5
7.589,1.918,1.463,5
