# Accelerometer Data File
# Started @Mon May 08 23:02:38 GMT+02:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: BMA2X2 Accelerometer/Temperature/Double-tap
# sensor Resolution: 0.01914978m/sec^2; Max Range: 39.226593; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
-1.197 9.023 5.07 5
-1.173 8.988 5.018 5
-1.11 8.944 4.999 5
-1.014 8.944 4.849 5
-1.014 8.955 4.755 5
-1.03 8.995 4.649 5
-0.997 9.085 4.633 5
-1.034 9.182 4.602 5
-1.132 9.232 4.602 5
-1.202 9.267 4.598 5
-1.107 9.331 4.605 5
-0.978 9.355 4.365 5
-0.938 9.337 4.09 5
-1.074 9.327 3.886 5
-1.25 9.338 3.745 5
-1.467 9.366 3.612 5
-1.695 9.398 3.482 5
-1.853 9.427 3.33 5
-2.001 9.476 3.291 5
-2.023 9.487 3.218 5
-1.868 9.409 3.198 5
-1.548 9.307 3.253 5
-1.219 9.167 3.387 6
-1.023 9.025 3.64 5
-0.975 8.922 3.792 5
-0.92 8.8 3.775 5
-0.847 8.7 3.779 5
-0.806 8.611 3.73 5
-0.777 8.54 3.57 5
-0.719 8.492 3.26 5
-0.695 8.382 2.889 5
-0.689 8.242 2.469 5
-0.724 8.089 2.033 5
-0.85 8.053 1.791 5
-1.036 8.107 1.772 5
-1.17 8.18 1.895 5
-1.262 8.228 1.901 5
-1.392 8.255 1.874 5
-1.62 8.255 1.72 5
-1.868 8.236 1.443 5
-1.957 8.22 1.229 5
-1.965 8.119 1.272 5
-1.842 8.027 1.357 5
-1.792 7.96 1.945 5
-1.636 7.843 2.462 5
-1.406 7.77 2.609 5
-1.177 7.637 2.46 5
-0.983 7.496 2.185 5
-0.861 7.324 1.865 5
-0.705 7.228 1.613 5
-0.499 7.196 1.493 6
