# Accelerometer Data File
# Started @Mon May 08 23:01:21 GMT+02:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: BMA2X2 Accelerometer/Temperature/Double-tap
# sensor Resolution: 0.01914978m/sec^2; Max Range: 39.226593; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
1.57 6.783 9.152 5
1.776 6.818 9.065 5
1.89 6.843 8.843 6
1.963 6.818 8.328 5
1.815 6.837 7.678 5
1.58 6.792 7.05 5
1.361 6.628 6.655 5
1.084 6.539 6.347 5
0.894 6.531 6.163 5
0.914 6.591 6.341 5
1.052 6.599 6.829 5
1.05 6.522 7.521 5
0.737 6.196 8.07 5
0.582 5.752 8.38 5
0.167 5.728 8.204 5
-0.542 6.119 7.598 5
-0.839 6.556 6.903 5
-0.25 6.627 6.704 5
0.323 6.284 6.194 5
0.186 6.395 6.398 5
0.245 6.629 6.665 5
0.554 6.735 6.518 5
0.775 6.923 6.527 5
0.897 7.008 6.736 5
1.075 7.148 6.923 5
1.373 7.27 7.04 5
1.505 7.391 7.037 5
1.629 7.489 7.029 5
1.654 7.489 7.029 5
1.608 7.454 6.971 5
1.436 7.414 6.732 6
1.217 7.282 6.453 5
0.836 6.885 6.283 5
0.63 6.742 6.219 5
0.502 6.797 6.243 5
0.35 6.794 6.441 5
0.316 6.77 6.939 5
0.235 6.73 7.318 5
0.067 6.641 7.625 5
0.027 6.55 7.955 5
0.358 6.488 7.875 5
0.491 6.44 7.646 5
0.597 6.501 7.249 5
0.646 6.566 6.696 5
0.703 6.575 6.16 5
0.764 6.643 5.569 5
0.866 6.823 4.996 5
1.008 6.954 4.563 5
1.24 7.101 4.276 5
1.348 7.284 4.107 5
1.482 7.374 3.958 5
1.521 7.362 3.984 5
1.395 7.253 4.153 5
1.199 7.12 4.416 5
0.93 6.958 4.66 5
0.163 6.713 4.943 5
-1.161 6.383 5.579 5
0.291 6.387 5.975 5
1.084 6.596 6.098 6
1.306 7.082 5.639 5
1.013 7.544 5.04 5
0.669 7.795 4.794 5
0.485 7.775 4.766 5
0.288 7.687 4.873 5
-0.01 7.512 4.981 5
-0.204 7.415 5.111 5
-0.167 7.406 5.133 5
-0.058 7.543 5.058 5
0.154 7.685 4.941 5
0.368 7.807 4.786 5
0.628 7.929 4.627 5
0.797 8.049 4.455 5
0.951 8.134 4.328 5
0.915 8.183 4.337 5
0.883 8.146 4.418 5
0.846 8.146 4.523 5
0.845 8.057 4.531 5
0.783 8.011 4.561 5
0.729 7.931 4.727 5
0.594 7.857 5.084 5
0.459 7.794 5.544 5
0.471 7.761 6.094 5
0.517 7.777 6.439 5
0.511 7.788 6.499 5
0.51 7.764 6.477 5
